O,C,E,A,N,Cluster
42.0,41.0,32.0,24.0,31.0,Suitable for any job
34.0,33.0,27.0,34.0,26.0,Education & Social Work
34.0,37.0,34.0,32.0,25.0,"Sales, Marketing & Management"
26.0,26.0,28.0,25.0,30.0,Suitable for any job
36.0,30.0,28.0,32.0,33.0,Education & Social Work
30.0,31.0,28.0,30.0,33.0,Education & Social Work
28.0,31.0,31.0,31.0,38.0,"Sales, Marketing & Management"
26.0,30.0,32.0,32.0,38.0,"Sales, Marketing & Management"
30.0,30.0,32.0,33.0,25.0,"Sales, Marketing & Management"
29.0,35.0,27.0,26.0,35.0,Suitable for any job
32.0,31.0,36.0,33.0,27.0,"Sales, Marketing & Management"
32.0,27.0,33.0,30.0,32.0,Education & Social Work
35.0,40.0,28.0,30.0,29.0,Education & Social Work
32.0,33.0,31.0,31.0,33.0,"Sales, Marketing & Management"
41.0,36.0,32.0,37.0,34.0,"Sales, Marketing & Management"
29.0,30.0,30.0,28.0,27.0,Suitable for any job
32.0,38.0,29.0,28.0,22.0,Suitable for any job
24.0,34.0,32.0,34.0,27.0,"Sales, Marketing & Management"
33.0,36.0,26.0,34.0,35.0,Education & Social Work
34.0,28.0,33.0,27.0,28.0,Suitable for any job
31.0,32.0,28.0,33.0,23.0,Education & Social Work
25.0,30.0,31.0,35.0,29.0,"Sales, Marketing & Management"
35.0,35.0,33.0,38.0,34.0,"Sales, Marketing & Management"
31.0,35.0,29.0,29.0,23.0,Suitable for any job
37.0,28.0,27.0,38.0,30.0,Education & Social Work
33.0,30.0,27.0,31.0,32.0,Education & Social Work
36.0,30.0,31.0,34.0,22.0,"Sales, Marketing & Management"
31.0,31.0,34.0,35.0,34.0,"Sales, Marketing & Management"
36.0,32.0,32.0,34.0,27.0,"Sales, Marketing & Management"
29.0,36.0,23.0,28.0,40.0,Suitable for any job
28.0,26.0,33.0,32.0,33.0,Suitable for any job
32.0,25.0,30.0,29.0,34.0,Suitable for any job
35.0,31.0,29.0,24.0,25.0,Suitable for any job
26.0,34.0,30.0,32.0,37.0,"Sales, Marketing & Management"
48.0,43.0,39.0,44.0,40.0,"Sales, Marketing & Management"
30.0,28.0,27.0,31.0,25.0,Education & Social Work
30.0,28.0,30.0,26.0,31.0,Suitable for any job
29.0,32.0,32.0,33.0,41.0,"Sales, Marketing & Management"
37.0,32.0,27.0,39.0,31.0,Education & Social Work
30.0,25.0,31.0,31.0,31.0,Education & Social Work
28.0,32.0,27.0,34.0,29.0,Suitable for any job
34.0,27.0,34.0,33.0,38.0,Education & Social Work
31.0,33.0,32.0,32.0,25.0,"Sales, Marketing & Management"
35.0,29.0,28.0,31.0,27.0,Education & Social Work
36.0,32.0,32.0,31.0,23.0,"Sales, Marketing & Management"
33.0,29.0,34.0,33.0,33.0,Education & Social Work
29.0,31.0,31.0,24.0,25.0,Suitable for any job
30.0,27.0,31.0,32.0,25.0,Education & Social Work
30.0,31.0,29.0,29.0,37.0,Suitable for any job
29.0,33.0,31.0,34.0,24.0,"Sales, Marketing & Management"
31.0,27.0,36.0,32.0,22.0,Education & Social Work
32.0,34.0,35.0,29.0,19.0,High-Pressure & Leadership Roles
37.0,32.0,33.0,31.0,24.0,"Sales, Marketing & Management"
31.0,28.0,31.0,31.0,30.0,Education & Social Work
36.0,31.0,27.0,25.0,33.0,Suitable for any job
23.0,32.0,30.0,26.0,20.0,High-Pressure & Leadership Roles
33.0,34.0,30.0,28.0,25.0,Suitable for any job
35.0,39.0,26.0,31.0,19.0,Healthcare & Support
36.0,33.0,30.0,28.0,30.0,Suitable for any job
32.0,29.0,31.0,30.0,28.0,Education & Social Work
30.0,31.0,29.0,32.0,26.0,Education & Social Work
36.0,33.0,30.0,33.0,34.0,"Sales, Marketing & Management"
34.0,38.0,32.0,30.0,31.0,"Sales, Marketing & Management"
37.0,41.0,38.0,30.0,43.0,"Sales, Marketing & Management"
40.0,36.0,31.0,32.0,34.0,"Sales, Marketing & Management"
32.0,35.0,28.0,37.0,37.0,Education & Social Work
29.0,24.0,26.0,33.0,40.0,Suitable for any job
33.0,28.0,35.0,21.0,26.0,Suitable for any job
30.0,33.0,31.0,33.0,34.0,"Sales, Marketing & Management"
31.0,30.0,32.0,29.0,28.0,Suitable for any job
34.0,38.0,32.0,34.0,29.0,"Sales, Marketing & Management"
36.0,30.0,35.0,31.0,34.0,"Sales, Marketing & Management"
25.0,31.0,30.0,31.0,24.0,"Sales, Marketing & Management"
37.0,29.0,32.0,31.0,21.0,Education & Social Work
30.0,28.0,28.0,31.0,30.0,Education & Social Work
35.0,39.0,35.0,39.0,41.0,"Sales, Marketing & Management"
32.0,33.0,29.0,32.0,37.0,Education & Social Work
34.0,37.0,26.0,34.0,22.0,Education & Social Work
33.0,28.0,32.0,36.0,26.0,Education & Social Work
37.0,29.0,29.0,30.0,36.0,Education & Social Work
34.0,39.0,34.0,36.0,37.0,"Sales, Marketing & Management"
28.0,34.0,30.0,30.0,32.0,"Sales, Marketing & Management"
37.0,31.0,33.0,40.0,30.0,"Sales, Marketing & Management"
32.0,32.0,28.0,33.0,35.0,Education & Social Work
29.0,29.0,27.0,32.0,21.0,Suitable for any job
37.0,26.0,28.0,36.0,21.0,Education & Social Work
32.0,35.0,37.0,32.0,33.0,"Sales, Marketing & Management"
29.0,28.0,30.0,29.0,37.0,Suitable for any job
44.0,37.0,33.0,33.0,39.0,"Sales, Marketing & Management"
32.0,34.0,32.0,32.0,33.0,"Sales, Marketing & Management"
32.0,26.0,30.0,31.0,28.0,Education & Social Work
29.0,28.0,25.0,26.0,26.0,Suitable for any job
32.0,29.0,27.0,33.0,29.0,Education & Social Work
34.0,29.0,29.0,28.0,32.0,Suitable for any job
28.0,34.0,30.0,31.0,25.0,"Sales, Marketing & Management"
32.0,32.0,30.0,34.0,26.0,"Sales, Marketing & Management"
32.0,27.0,32.0,32.0,27.0,Education & Social Work
36.0,28.0,25.0,26.0,31.0,Suitable for any job
35.0,33.0,29.0,36.0,27.0,Education & Social Work
35.0,32.0,32.0,29.0,17.0,High-Pressure & Leadership Roles
22.0,26.0,31.0,30.0,22.0,Suitable for any job
36.0,32.0,32.0,33.0,31.0,"Sales, Marketing & Management"
28.0,27.0,31.0,31.0,20.0,Suitable for any job
31.0,34.0,30.0,28.0,37.0,Suitable for any job
32.0,40.0,30.0,34.0,36.0,"Sales, Marketing & Management"
32.0,38.0,31.0,29.0,39.0,Suitable for any job
30.0,34.0,33.0,31.0,30.0,"Sales, Marketing & Management"
32.0,36.0,29.0,37.0,37.0,Education & Social Work
33.0,26.0,24.0,29.0,23.0,Suitable for any job
36.0,33.0,32.0,25.0,34.0,Suitable for any job
36.0,38.0,23.0,36.0,35.0,Education & Social Work
34.0,28.0,29.0,35.0,35.0,Education & Social Work
36.0,33.0,27.0,34.0,23.0,Education & Social Work
30.0,33.0,32.0,30.0,34.0,"Sales, Marketing & Management"
38.0,32.0,31.0,31.0,19.0,Healthcare & Support
31.0,28.0,34.0,30.0,26.0,Education & Social Work
28.0,29.0,31.0,29.0,28.0,Suitable for any job
33.0,32.0,28.0,31.0,36.0,Education & Social Work
33.0,28.0,26.0,27.0,13.0,Suitable for any job
32.0,31.0,33.0,37.0,20.0,Healthcare & Support
35.0,29.0,31.0,30.0,28.0,Education & Social Work
28.0,25.0,28.0,28.0,29.0,Suitable for any job
37.0,29.0,30.0,32.0,24.0,Education & Social Work
37.0,29.0,31.0,32.0,40.0,Education & Social Work
29.0,28.0,32.0,32.0,29.0,Suitable for any job
31.0,34.0,26.0,29.0,37.0,Suitable for any job
30.0,32.0,24.0,34.0,28.0,Education & Social Work
22.0,21.0,28.0,21.0,29.0,Suitable for any job
27.0,28.0,30.0,25.0,26.0,Suitable for any job
30.0,29.0,29.0,26.0,20.0,Suitable for any job
30.0,27.0,30.0,25.0,25.0,Suitable for any job
31.0,34.0,30.0,32.0,31.0,"Sales, Marketing & Management"
33.0,30.0,28.0,33.0,32.0,Education & Social Work
25.0,25.0,30.0,27.0,35.0,Suitable for any job
33.0,35.0,26.0,32.0,40.0,Education & Social Work
33.0,31.0,29.0,34.0,29.0,Education & Social Work
35.0,30.0,34.0,34.0,36.0,"Sales, Marketing & Management"
33.0,30.0,30.0,29.0,33.0,Suitable for any job
29.0,31.0,41.0,35.0,33.0,"Sales, Marketing & Management"
31.0,32.0,30.0,29.0,28.0,Suitable for any job
37.0,34.0,37.0,31.0,43.0,"Sales, Marketing & Management"
34.0,29.0,26.0,27.0,31.0,Suitable for any job
21.0,24.0,33.0,27.0,37.0,Suitable for any job
34.0,30.0,32.0,36.0,30.0,"Sales, Marketing & Management"
32.0,31.0,25.0,28.0,26.0,Suitable for any job
32.0,31.0,33.0,28.0,34.0,Suitable for any job
30.0,18.0,26.0,31.0,13.0,Creative Freelance & Innovation
37.0,34.0,30.0,34.0,37.0,"Sales, Marketing & Management"
29.0,28.0,30.0,26.0,35.0,Suitable for any job
27.0,27.0,29.0,28.0,34.0,Suitable for any job
36.0,30.0,31.0,37.0,34.0,"Sales, Marketing & Management"
32.0,27.0,40.0,34.0,26.0,Education & Social Work
29.0,33.0,34.0,32.0,35.0,"Sales, Marketing & Management"
36.0,35.0,34.0,34.0,38.0,"Sales, Marketing & Management"
26.0,38.0,36.0,33.0,36.0,"Sales, Marketing & Management"
34.0,26.0,25.0,32.0,21.0,Education & Social Work
27.0,25.0,29.0,34.0,23.0,Suitable for any job
33.0,27.0,33.0,30.0,32.0,Education & Social Work
36.0,27.0,31.0,34.0,24.0,Education & Social Work
37.0,30.0,26.0,33.0,41.0,Education & Social Work
29.0,28.0,31.0,33.0,26.0,Suitable for any job
35.0,36.0,32.0,35.0,24.0,"Sales, Marketing & Management"
29.0,28.0,32.0,36.0,23.0,Suitable for any job
31.0,36.0,31.0,37.0,28.0,"Sales, Marketing & Management"
33.0,31.0,30.0,33.0,36.0,"Sales, Marketing & Management"
36.0,34.0,33.0,36.0,31.0,"Sales, Marketing & Management"
34.0,22.0,41.0,36.0,20.0,Education & Social Work
38.0,34.0,33.0,36.0,32.0,"Sales, Marketing & Management"
31.0,33.0,25.0,33.0,32.0,Education & Social Work
31.0,34.0,31.0,31.0,35.0,"Sales, Marketing & Management"
35.0,31.0,25.0,23.0,27.0,Suitable for any job
34.0,30.0,26.0,34.0,17.0,Healthcare & Support
32.0,31.0,30.0,32.0,31.0,"Sales, Marketing & Management"
32.0,30.0,33.0,31.0,31.0,"Sales, Marketing & Management"
34.0,24.0,28.0,27.0,23.0,Suitable for any job
35.0,29.0,27.0,31.0,23.0,Education & Social Work
27.0,32.0,34.0,36.0,29.0,"Sales, Marketing & Management"
34.0,32.0,30.0,32.0,23.0,"Sales, Marketing & Management"
32.0,27.0,28.0,30.0,29.0,Education & Social Work
32.0,26.0,31.0,37.0,36.0,Education & Social Work
29.0,27.0,32.0,29.0,28.0,Suitable for any job
35.0,31.0,31.0,33.0,18.0,Healthcare & Support
21.0,27.0,32.0,32.0,30.0,Suitable for any job
29.0,28.0,30.0,32.0,29.0,Suitable for any job
29.0,32.0,27.0,30.0,36.0,Suitable for any job
33.0,29.0,28.0,33.0,23.0,Education & Social Work
37.0,32.0,26.0,30.0,33.0,Education & Social Work
29.0,34.0,30.0,33.0,29.0,"Sales, Marketing & Management"
31.0,22.0,29.0,28.0,27.0,Suitable for any job
36.0,28.0,35.0,36.0,40.0,Education & Social Work
32.0,28.0,35.0,28.0,32.0,Suitable for any job
35.0,33.0,35.0,29.0,32.0,Suitable for any job
30.0,33.0,34.0,28.0,41.0,Suitable for any job
36.0,37.0,36.0,33.0,29.0,"Sales, Marketing & Management"
33.0,33.0,27.0,29.0,41.0,Suitable for any job
39.0,34.0,32.0,30.0,36.0,"Sales, Marketing & Management"
31.0,35.0,34.0,30.0,34.0,"Sales, Marketing & Management"
32.0,36.0,30.0,33.0,34.0,"Sales, Marketing & Management"
35.0,35.0,30.0,27.0,31.0,Suitable for any job
31.0,30.0,27.0,27.0,28.0,Suitable for any job
28.0,34.0,33.0,33.0,36.0,"Sales, Marketing & Management"
32.0,31.0,26.0,26.0,25.0,Suitable for any job
35.0,31.0,27.0,32.0,31.0,Education & Social Work
27.0,27.0,28.0,28.0,23.0,Suitable for any job
32.0,33.0,31.0,34.0,42.0,"Sales, Marketing & Management"
18.0,22.0,29.0,28.0,28.0,Routine & Practical Jobs
38.0,43.0,30.0,31.0,30.0,"Sales, Marketing & Management"
33.0,32.0,29.0,31.0,29.0,Education & Social Work
34.0,38.0,30.0,30.0,46.0,"Sales, Marketing & Management"
33.0,29.0,28.0,33.0,31.0,Education & Social Work
34.0,30.0,25.0,25.0,31.0,Suitable for any job
37.0,34.0,33.0,31.0,24.0,"Sales, Marketing & Management"
33.0,32.0,32.0,33.0,26.0,"Sales, Marketing & Management"
33.0,32.0,30.0,32.0,31.0,"Sales, Marketing & Management"
30.0,28.0,27.0,29.0,23.0,Suitable for any job
34.0,27.0,28.0,34.0,37.0,Education & Social Work
30.0,32.0,30.0,31.0,32.0,"Sales, Marketing & Management"
33.0,31.0,34.0,34.0,27.0,"Sales, Marketing & Management"
27.0,31.0,27.0,30.0,28.0,Suitable for any job
30.0,40.0,34.0,34.0,28.0,"Sales, Marketing & Management"
34.0,32.0,31.0,33.0,30.0,"Sales, Marketing & Management"
34.0,28.0,23.0,36.0,40.0,Education & Social Work
38.0,26.0,28.0,31.0,14.0,Education & Social Work
27.0,29.0,33.0,33.0,43.0,Suitable for any job
30.0,33.0,32.0,34.0,31.0,"Sales, Marketing & Management"
31.0,34.0,31.0,23.0,34.0,Suitable for any job
32.0,32.0,27.0,34.0,29.0,Education & Social Work
26.0,31.0,32.0,29.0,26.0,Suitable for any job
32.0,31.0,33.0,32.0,23.0,"Sales, Marketing & Management"
35.0,31.0,28.0,29.0,35.0,Suitable for any job
31.0,25.0,36.0,29.0,21.0,Suitable for any job
39.0,37.0,25.0,33.0,27.0,Education & Social Work
35.0,32.0,29.0,28.0,34.0,Suitable for any job
35.0,30.0,37.0,34.0,20.0,Healthcare & Support
34.0,23.0,29.0,30.0,19.0,Education & Social Work
35.0,36.0,25.0,29.0,32.0,Suitable for any job
32.0,27.0,32.0,37.0,26.0,Education & Social Work
32.0,31.0,30.0,28.0,31.0,Suitable for any job
34.0,29.0,38.0,33.0,27.0,Education & Social Work
31.0,29.0,29.0,30.0,29.0,Education & Social Work
33.0,31.0,33.0,28.0,44.0,Suitable for any job
30.0,35.0,29.0,35.0,22.0,Education & Social Work
28.0,32.0,29.0,34.0,34.0,Suitable for any job
32.0,35.0,31.0,29.0,26.0,Suitable for any job
29.0,35.0,33.0,29.0,30.0,Suitable for any job
32.0,33.0,30.0,33.0,26.0,"Sales, Marketing & Management"
43.0,24.0,36.0,32.0,23.0,Education & Social Work
29.0,27.0,33.0,26.0,29.0,Suitable for any job
36.0,32.0,32.0,30.0,27.0,"Sales, Marketing & Management"
29.0,34.0,34.0,37.0,29.0,"Sales, Marketing & Management"
28.0,28.0,30.0,34.0,29.0,Suitable for any job
29.0,34.0,36.0,32.0,38.0,"Sales, Marketing & Management"
26.0,24.0,30.0,33.0,16.0,Suitable for any job
38.0,30.0,29.0,27.0,26.0,Suitable for any job
34.0,34.0,33.0,35.0,33.0,"Sales, Marketing & Management"
31.0,33.0,31.0,34.0,33.0,"Sales, Marketing & Management"
34.0,25.0,28.0,31.0,30.0,Education & Social Work
30.0,29.0,38.0,30.0,24.0,Education & Social Work
38.0,34.0,30.0,34.0,23.0,"Sales, Marketing & Management"
32.0,29.0,26.0,38.0,30.0,Education & Social Work
31.0,30.0,28.0,33.0,33.0,Education & Social Work
35.0,33.0,25.0,32.0,35.0,Education & Social Work
32.0,33.0,30.0,32.0,21.0,"Sales, Marketing & Management"
30.0,32.0,31.0,31.0,16.0,Healthcare & Support
36.0,30.0,33.0,34.0,33.0,"Sales, Marketing & Management"
33.0,33.0,32.0,33.0,33.0,"Sales, Marketing & Management"
28.0,33.0,25.0,37.0,35.0,Suitable for any job
31.0,25.0,31.0,32.0,23.0,Education & Social Work
30.0,30.0,28.0,31.0,35.0,Education & Social Work
29.0,27.0,29.0,32.0,30.0,Suitable for any job
31.0,32.0,29.0,28.0,24.0,Suitable for any job
37.0,33.0,32.0,29.0,28.0,Suitable for any job
33.0,35.0,30.0,28.0,36.0,Suitable for any job
33.0,43.0,31.0,29.0,26.0,Suitable for any job
33.0,26.0,32.0,30.0,27.0,Education & Social Work
24.0,34.0,32.0,31.0,38.0,"Sales, Marketing & Management"
40.0,39.0,33.0,29.0,22.0,Suitable for any job
22.0,34.0,28.0,34.0,33.0,Suitable for any job
27.0,29.0,25.0,32.0,28.0,Suitable for any job
20.0,19.0,18.0,18.0,20.0,Suitable for any job
37.0,35.0,32.0,33.0,14.0,Healthcare & Support
32.0,32.0,34.0,30.0,36.0,"Sales, Marketing & Management"
28.0,33.0,32.0,33.0,24.0,"Sales, Marketing & Management"
34.0,30.0,32.0,32.0,30.0,"Sales, Marketing & Management"
24.0,29.0,34.0,30.0,34.0,Suitable for any job
31.0,35.0,28.0,33.0,39.0,Education & Social Work
34.0,34.0,37.0,34.0,27.0,"Sales, Marketing & Management"
29.0,35.0,35.0,30.0,33.0,"Sales, Marketing & Management"
34.0,29.0,28.0,30.0,29.0,Education & Social Work
32.0,31.0,31.0,32.0,31.0,"Sales, Marketing & Management"
24.0,32.0,31.0,30.0,21.0,"Sales, Marketing & Management"
27.0,33.0,34.0,31.0,31.0,"Sales, Marketing & Management"
33.0,37.0,28.0,31.0,22.0,Education & Social Work
44.0,39.0,31.0,31.0,36.0,"Sales, Marketing & Management"
34.0,30.0,26.0,29.0,39.0,Suitable for any job
36.0,36.0,28.0,27.0,30.0,Suitable for any job
41.0,30.0,37.0,36.0,30.0,"Sales, Marketing & Management"
29.0,34.0,35.0,30.0,21.0,"Sales, Marketing & Management"
32.0,31.0,33.0,31.0,27.0,"Sales, Marketing & Management"
35.0,34.0,31.0,25.0,26.0,Suitable for any job
25.0,31.0,29.0,23.0,29.0,Suitable for any job
30.0,35.0,31.0,33.0,36.0,"Sales, Marketing & Management"
37.0,36.0,31.0,32.0,42.0,"Sales, Marketing & Management"
25.0,22.0,31.0,31.0,37.0,Suitable for any job
35.0,34.0,35.0,32.0,38.0,"Sales, Marketing & Management"
31.0,38.0,33.0,36.0,35.0,"Sales, Marketing & Management"
34.0,37.0,24.0,38.0,23.0,Education & Social Work
27.0,34.0,30.0,32.0,39.0,"Sales, Marketing & Management"
28.0,25.0,37.0,31.0,29.0,Suitable for any job
32.0,24.0,33.0,38.0,29.0,Education & Social Work
27.0,39.0,32.0,37.0,31.0,"Sales, Marketing & Management"
34.0,33.0,28.0,32.0,27.0,Education & Social Work
25.0,30.0,28.0,28.0,34.0,Suitable for any job
29.0,30.0,35.0,28.0,34.0,Suitable for any job
37.0,34.0,26.0,30.0,18.0,Healthcare & Support
25.0,30.0,30.0,31.0,35.0,"Sales, Marketing & Management"
28.0,36.0,27.0,36.0,43.0,Suitable for any job
31.0,33.0,30.0,25.0,32.0,Suitable for any job
23.0,29.0,26.0,25.0,25.0,Suitable for any job
38.0,36.0,30.0,34.0,38.0,"Sales, Marketing & Management"
35.0,32.0,29.0,32.0,33.0,Education & Social Work
34.0,35.0,27.0,32.0,37.0,Education & Social Work
37.0,31.0,36.0,37.0,40.0,"Sales, Marketing & Management"
37.0,30.0,33.0,32.0,42.0,"Sales, Marketing & Management"
35.0,31.0,31.0,29.0,30.0,Suitable for any job
38.0,30.0,36.0,34.0,21.0,"Sales, Marketing & Management"
25.0,26.0,34.0,38.0,37.0,Suitable for any job
39.0,38.0,35.0,38.0,39.0,"Sales, Marketing & Management"
33.0,29.0,28.0,36.0,22.0,Education & Social Work
28.0,32.0,28.0,29.0,22.0,Suitable for any job
33.0,34.0,27.0,33.0,36.0,Education & Social Work
50.0,50.0,50.0,50.0,50.0,"Sales, Marketing & Management"
32.0,36.0,32.0,34.0,29.0,"Sales, Marketing & Management"
50.0,50.0,50.0,50.0,50.0,"Sales, Marketing & Management"
31.0,34.0,31.0,42.0,35.0,"Sales, Marketing & Management"
34.0,35.0,40.0,34.0,32.0,"Sales, Marketing & Management"
37.0,29.0,32.0,28.0,33.0,Suitable for any job
28.0,29.0,29.0,32.0,35.0,Suitable for any job
32.0,26.0,24.0,32.0,37.0,Education & Social Work
29.0,35.0,28.0,31.0,35.0,Suitable for any job
34.0,30.0,33.0,28.0,26.0,Suitable for any job
35.0,34.0,32.0,32.0,28.0,"Sales, Marketing & Management"
35.0,32.0,27.0,33.0,30.0,Education & Social Work
26.0,31.0,30.0,32.0,23.0,"Sales, Marketing & Management"
28.0,32.0,38.0,31.0,23.0,"Sales, Marketing & Management"
34.0,33.0,33.0,36.0,30.0,"Sales, Marketing & Management"
23.0,29.0,28.0,34.0,40.0,Suitable for any job
36.0,29.0,33.0,36.0,27.0,Education & Social Work
34.0,39.0,25.0,28.0,38.0,Suitable for any job
34.0,29.0,30.0,30.0,31.0,Education & Social Work
32.0,33.0,34.0,37.0,34.0,"Sales, Marketing & Management"
39.0,36.0,31.0,39.0,45.0,"Sales, Marketing & Management"
35.0,28.0,28.0,34.0,29.0,Education & Social Work
25.0,25.0,27.0,26.0,46.0,Suitable for any job
35.0,31.0,28.0,30.0,33.0,Education & Social Work
35.0,35.0,36.0,34.0,34.0,"Sales, Marketing & Management"
35.0,34.0,29.0,33.0,47.0,Education & Social Work
37.0,28.0,30.0,35.0,34.0,Education & Social Work
31.0,30.0,30.0,28.0,24.0,Suitable for any job
31.0,28.0,30.0,35.0,28.0,Education & Social Work
30.0,43.0,31.0,32.0,28.0,"Sales, Marketing & Management"
26.0,24.0,29.0,28.0,30.0,Suitable for any job
31.0,33.0,31.0,30.0,30.0,"Sales, Marketing & Management"
37.0,34.0,27.0,33.0,44.0,Education & Social Work
36.0,32.0,34.0,34.0,28.0,"Sales, Marketing & Management"
30.0,28.0,29.0,29.0,26.0,Suitable for any job
37.0,30.0,26.0,33.0,31.0,Education & Social Work
38.0,36.0,29.0,31.0,36.0,Education & Social Work
30.0,33.0,29.0,29.0,43.0,Suitable for any job
31.0,25.0,25.0,35.0,30.0,Education & Social Work
30.0,34.0,30.0,34.0,17.0,Healthcare & Support
27.0,28.0,32.0,34.0,21.0,Suitable for any job
34.0,32.0,28.0,31.0,24.0,Education & Social Work
32.0,34.0,32.0,30.0,16.0,Healthcare & Support
29.0,32.0,33.0,38.0,29.0,"Sales, Marketing & Management"
29.0,28.0,25.0,29.0,25.0,Suitable for any job
29.0,26.0,33.0,40.0,33.0,Suitable for any job
38.0,33.0,32.0,39.0,39.0,"Sales, Marketing & Management"
37.0,27.0,30.0,29.0,32.0,Suitable for any job
31.0,31.0,32.0,29.0,28.0,Suitable for any job
33.0,32.0,36.0,31.0,37.0,"Sales, Marketing & Management"
28.0,31.0,33.0,32.0,37.0,"Sales, Marketing & Management"
26.0,26.0,29.0,23.0,27.0,Suitable for any job
35.0,25.0,38.0,30.0,39.0,Education & Social Work
28.0,28.0,31.0,31.0,28.0,Suitable for any job
34.0,32.0,27.0,37.0,26.0,Education & Social Work
33.0,29.0,30.0,28.0,28.0,Suitable for any job
31.0,30.0,30.0,33.0,42.0,"Sales, Marketing & Management"
30.0,32.0,31.0,34.0,36.0,"Sales, Marketing & Management"
35.0,39.0,35.0,33.0,40.0,"Sales, Marketing & Management"
33.0,30.0,30.0,31.0,32.0,"Sales, Marketing & Management"
34.0,36.0,26.0,35.0,39.0,Education & Social Work
35.0,31.0,33.0,39.0,31.0,"Sales, Marketing & Management"
35.0,41.0,32.0,39.0,26.0,"Sales, Marketing & Management"
38.0,28.0,28.0,26.0,37.0,Suitable for any job
31.0,26.0,30.0,31.0,32.0,Education & Social Work
30.0,37.0,28.0,33.0,30.0,Education & Social Work
33.0,32.0,31.0,30.0,21.0,"Sales, Marketing & Management"
30.0,26.0,32.0,29.0,20.0,Suitable for any job
36.0,30.0,29.0,28.0,21.0,Suitable for any job
32.0,27.0,34.0,32.0,23.0,Education & Social Work
33.0,25.0,33.0,24.0,34.0,Suitable for any job
35.0,36.0,26.0,34.0,31.0,Education & Social Work
36.0,29.0,27.0,31.0,33.0,Education & Social Work
33.0,28.0,30.0,30.0,19.0,Education & Social Work
30.0,34.0,32.0,34.0,41.0,"Sales, Marketing & Management"
26.0,34.0,29.0,30.0,28.0,Suitable for any job
37.0,31.0,28.0,33.0,26.0,Education & Social Work
31.0,24.0,31.0,32.0,26.0,Education & Social Work
35.0,25.0,31.0,34.0,33.0,Education & Social Work
35.0,33.0,27.0,33.0,44.0,Education & Social Work
29.0,26.0,28.0,31.0,21.0,Suitable for any job
31.0,32.0,27.0,29.0,28.0,Suitable for any job
33.0,26.0,27.0,31.0,36.0,Education & Social Work
35.0,30.0,31.0,32.0,28.0,"Sales, Marketing & Management"
36.0,40.0,29.0,40.0,41.0,Education & Social Work
33.0,36.0,33.0,39.0,38.0,"Sales, Marketing & Management"
31.0,31.0,29.0,30.0,31.0,Education & Social Work
35.0,33.0,28.0,26.0,28.0,Suitable for any job
35.0,30.0,31.0,31.0,21.0,"Sales, Marketing & Management"
37.0,24.0,32.0,35.0,33.0,Education & Social Work
34.0,27.0,33.0,35.0,19.0,Education & Social Work
35.0,27.0,28.0,28.0,20.0,Suitable for any job
32.0,30.0,26.0,33.0,40.0,Education & Social Work
33.0,33.0,33.0,32.0,30.0,"Sales, Marketing & Management"
33.0,34.0,33.0,30.0,31.0,"Sales, Marketing & Management"
37.0,32.0,34.0,33.0,29.0,"Sales, Marketing & Management"
38.0,24.0,32.0,37.0,27.0,Education & Social Work
35.0,33.0,28.0,26.0,36.0,Suitable for any job
32.0,27.0,25.0,31.0,36.0,Education & Social Work
36.0,30.0,26.0,26.0,30.0,Suitable for any job
31.0,36.0,29.0,32.0,28.0,Education & Social Work
35.0,33.0,31.0,30.0,19.0,Healthcare & Support
38.0,32.0,32.0,30.0,29.0,"Sales, Marketing & Management"
35.0,37.0,26.0,30.0,38.0,Education & Social Work
37.0,33.0,30.0,33.0,27.0,"Sales, Marketing & Management"
39.0,30.0,26.0,34.0,19.0,Healthcare & Support
30.0,27.0,28.0,31.0,19.0,Education & Social Work
31.0,34.0,31.0,35.0,34.0,"Sales, Marketing & Management"
32.0,33.0,37.0,28.0,30.0,Suitable for any job
35.0,35.0,31.0,35.0,38.0,"Sales, Marketing & Management"
34.0,33.0,30.0,32.0,18.0,Healthcare & Support
34.0,28.0,29.0,25.0,26.0,Suitable for any job
30.0,32.0,32.0,29.0,32.0,Suitable for any job
32.0,30.0,35.0,33.0,33.0,"Sales, Marketing & Management"
36.0,41.0,25.0,31.0,41.0,Education & Social Work
33.0,29.0,32.0,32.0,36.0,Education & Social Work
39.0,37.0,23.0,21.0,29.0,Suitable for any job
29.0,34.0,31.0,35.0,36.0,"Sales, Marketing & Management"
29.0,25.0,32.0,33.0,31.0,Suitable for any job
35.0,29.0,34.0,34.0,37.0,Education & Social Work
28.0,34.0,32.0,29.0,34.0,Suitable for any job
30.0,31.0,30.0,33.0,31.0,"Sales, Marketing & Management"
37.0,40.0,32.0,35.0,39.0,"Sales, Marketing & Management"
36.0,33.0,29.0,35.0,31.0,Education & Social Work
36.0,33.0,34.0,30.0,38.0,"Sales, Marketing & Management"
31.0,37.0,29.0,34.0,42.0,Education & Social Work
34.0,32.0,34.0,33.0,38.0,"Sales, Marketing & Management"
37.0,35.0,34.0,35.0,29.0,"Sales, Marketing & Management"
30.0,31.0,27.0,28.0,30.0,Suitable for any job
36.0,29.0,31.0,31.0,32.0,Education & Social Work
32.0,29.0,33.0,32.0,25.0,Education & Social Work
37.0,33.0,33.0,34.0,15.0,Healthcare & Support
35.0,23.0,25.0,34.0,20.0,Education & Social Work
